title,url,publish_date,media_name,media_id,language,word_count,sentences_count,story_id
Family of suspect in Charlie Kirk shooting issues statement,https://www.urdupoint.com/en/world/family-of-suspect-in-charlie-kirk-shooting-is-2043271.html,2025-09-13,urdupoint.com,,en,,,
Bond denied for man accused of sexual abuse,https://oanow.com/article_8d6c0be1-a6d5-5bbb-a5a1-90fe59948e42.html,2025-09-13,oanow.com,,en,,,
How Charlie Kirk shaped a generation of young people into a conservative force,https://oanow.com/news/nation-world/government-politics/article_8c869917-48f4-5fe6-a203-bfda3666b003.html,2025-09-13,oanow.com,,en,,,
Michigan candidates vow to keep campaigning publicly after Charlie Kirk assassination,https://www.pressandguide.com/2025/09/13/michigan-candidates-vow-to-keep-campaigning-publicly-after-charlie-kirk-assassination/,2025-09-13,pressandguide.com,,en,,,
Your primary goal,https://oanow.com/article_16d1b510-5762-5bb1-8b52-3f1b6bf8767d.html,2025-09-13,oanow.com,,en,,,
Democrat James Talarico leans into faith in Senate bid to flip Texas red,https://gazette.com/news/wex/democrat-james-talarico-leans-into-faith-in-senate-bid-to-flip-texas-red/article_89db85f9-ba91-5444-a6a3-1f2e60c20ca1.html,2025-09-13,gazette.com,,en,,,
"Bolsonaro's meteoric rise, his stunning fall and what it means for Brazil's far right",https://www.krwg.org/2025-09-12/bolsonaros-meteoric-rise-his-stunning-fall-and-what-it-means-for-brazils-far-right,2025-09-12,krwg.org,,en,,,
How the Italian anthem 'Bella Ciao' is connected to Charlie Kirk's killing,https://www.krwg.org/npr-politics/2025-09-12/how-the-italian-anthem-bella-ciao-is-connected-to-charlie-kirks-killing,2025-09-12,krwg.org,,en,,,
People are losing jobs due to social media posts about Charlie Kirk,https://www.krwg.org/npr-politics/2025-09-13/people-are-losing-jobs-due-to-social-media-posts-about-charlie-kirk,2025-09-13,krwg.org,,en,,,
Authorities have identified and arrested the man they say killed Charlie Kirk,https://www.krwg.org/national-news/2025-09-12/authorities-have-identified-and-arrested-the-man-they-say-killed-charlie-kirk,2025-09-12,krwg.org,,en,,,
